wf,occ,drone,scen,eirp_dbm,sigma_dbsm,sigma_po_dbsm,occlusion_db,snr_echo_db,snr_echo_eff_db,dnr_db,delta_rb_m,rb_m,fd_hz,scr_db,scr_std,pd,pd_lo,pd_hi,rb_err_m,M,N,ghost_on,p_ghost_det,ghost_margin_db,p_false,ghost_bins_apart,ghost_sep_m,ghost_amp_db,ghost_fd_hz,ghost_resolved
lte20,G3,mavic4pro,radial,12,-19.66,,,-0.717,-3.039,57.82,16.66,22.02,33.7,49.1,0.6931,1,0.963,1,0.3351,32,100,False,,,,,,,,
lte20,G3,mavic4pro,radial,12,-19.66,,,-0.717,-3.039,57.82,16.66,22.02,33.7,49.89,0.69,1,0.963,1,0.03081,32,100,True,1,18.93,0,"(1, 0)",3.541,-17.56,29.88,False
lte20,G3,mini5pro,radial,12,-29.91,,,-10.97,-13.29,68.07,16.66,22.02,33.7,39.04,0.6492,1,0.963,1,0.3234,32,100,False,,,,,,,,
lte20,G3,mini5pro,radial,12,-29.91,,,-10.97,-13.29,68.07,16.66,22.02,33.7,39.84,0.6497,1,0.963,1,0.0944,32,100,True,1,18.42,0,"(1, 0)",3.541,-17.56,29.88,False
lte10,G3,s1000plus,radial,12,-18.11,,,3.845,1.524,56.26,33.31,22.02,33.7,50.82,0.8242,1,0.963,1,0.408,32,100,False,,,,,,,,
lte10,G3,s1000plus,radial,12,-18.11,,,3.845,1.524,56.26,33.31,22.02,33.7,51.7,0.8187,1,0.963,1,0.1205,32,100,True,1,39.96,0,"(0, 0)",3.541,-17.56,29.88,False
lte10,G3,phantom4,radial,12,-14.18,,,7.775,5.454,52.33,33.31,22.02,33.7,54.51,0.6686,1,0.963,1,0.403,32,100,False,,,,,,,,
lte10,G3,phantom4,radial,12,-14.18,,,7.775,5.454,52.33,33.31,22.02,33.7,55.34,0.6585,1,0.963,1,0.1149,32,100,True,1,42.3,0,"(0, 0)",3.541,-17.56,29.88,False
lte10,G3,matrice4e,radial,12,-16.63,,,5.319,2.997,54.79,33.31,22.02,33.7,52.21,0.8026,1,0.963,1,0.4114,32,100,False,,,,,,,,
lte10,G3,matrice4e,radial,12,-16.63,,,5.319,2.997,54.79,33.31,22.02,33.7,53.07,0.795,1,0.963,1,0.1227,32,100,True,1,40.95,0,"(0, 0)",3.541,-17.56,29.88,False
lte10,G3,mavic4pro,radial,12,-19.66,,,2.293,-0.02821,57.82,33.31,22.02,33.7,49.39,0.7356,1,0.963,1,0.3948,32,100,False,,,,,,,,
lte10,G3,mavic4pro,radial,12,-19.66,,,2.293,-0.02821,57.82,33.31,22.02,33.7,50.28,0.728,1,0.963,1,0.1082,32,100,True,1,39.13,0,"(0, 0)",3.541,-17.56,29.88,False
lte10,G3,mini5pro,radial,12,-29.91,,,-7.959,-10.28,68.07,33.31,22.02,33.7,39.28,0.7894,1,0.963,1,0.4193,32,100,False,,,,,,,,
lte10,G3,mini5pro,radial,12,-29.91,,,-7.959,-10.28,68.07,33.31,22.02,33.7,40.19,0.7881,1,0.963,1,0.1936,32,100,True,1,29.78,0,"(0, 0)",3.541,-17.56,29.88,False
