timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter,time_sec
552932000,552932000,0.9998737,0.01033099,0.009536524,-0.007998896,0.0,0.0,0.0,0.0,0,0.0
552952000,552952000,0.9997965,0.012678374,0.014080158,-0.007556461,0.0,0.0,0.0,0.0,0,0.02
552972000,552972000,0.99969715,0.014931194,0.018467829,-0.0071179694,0.0,0.0,0.0,0.0,0,0.04
552992000,552992000,0.9995789,0.017077688,0.022689564,-0.0066857156,0.0,0.0,0.0,0.0,0,0.06
553012000,553012000,0.9994443,0.0191269,0.026741313,-0.0062619923,0.0,0.0,0.0,0.0,0,0.08
553032000,553032000,0.99929655,0.021082502,0.030608479,-0.0058494518,0.0,0.0,0.0,0.0,0,0.1
553052000,553052000,0.9991375,0.0229514,0.03430544,-0.0054496797,0.0,0.0,0.0,0.0,0,0.12
553072000,553072000,0.9989702,0.024722343,0.03782585,-0.005064651,0.0,0.0,0.0,0.0,0,0.14
553092000,553092000,0.9987967,0.026393227,0.04117796,-0.0046955645,0.0,0.0,0.0,0.0,0,0.16
553112000,553112000,0.99861956,0.02796357,0.04435437,-0.0043441015,0.0,0.0,0.0,0.0,0,0.18
553132000,553132000,0.998441,0.029432723,0.04735377,-0.004011656,0.0,0.0,0.0,0.0,0,0.2
553152000,553152000,0.9982632,0.03081166,0.050166957,-0.0037000782,0.0,0.0,0.0,0.0,0,0.22
553172000,553172000,0.9980867,0.032104846,0.052818134,-0.0034098886,0.0,0.0,0.0,0.0,0,0.24
553192000,553192000,0.99791324,0.033311963,0.055305324,-0.0031424132,0.0,0.0,0.0,0.0,0,0.26
553212000,553212000,0.99774474,0.03442796,0.057626467,-0.002897997,0.0,0.0,0.0,0.0,0,0.28
553232000,553232000,0.9975825,0.035461944,0.059779625,-0.0026776253,0.0,0.0,0.0,0.0,0,0.3
553252000,553252000,0.9974267,0.0364119,0.06178243,-0.0024799814,0.0,0.0,0.0,0.0,0,0.32
553272000,553272000,0.99727905,0.03728898,0.06362274,-0.002305809,0.0,0.0,0.0,0.0,0,0.34
553292000,553292000,0.99714005,0.038098715,0.06530475,-0.0021552609,0.0,0.0,0.0,0.0,0,0.36
553312000,553312000,0.99701047,0.038841374,0.066831544,-0.0020278546,0.0,0.0,0.0,0.0,0,0.38
553332000,553332000,0.9968903,0.039504226,0.06822426,-0.0019214527,0.0,0.0,0.0,0.0,0,0.4
553352000,553352000,0.99678034,0.04009725,0.06947554,-0.0018368154,0.0,0.0,0.0,0.0,0,0.42
553372000,553372000,0.9966812,0.04061583,0.07058919,-0.0017727178,0.0,0.0,0.0,0.0,0,0.44
553392000,553392000,0.9965929,0.041065633,0.07157087,-0.0017280669,0.0,0.0,0.0,0.0,0,0.46
553412000,553412000,0.99651533,0.04144991,0.07242409,-0.001701634,0.0,0.0,0.0,0.0,0,0.48
553432000,553432000,0.9964491,0.041774217,0.073145606,-0.0016934043,0.0,0.0,0.0,0.0,0,0.5
553452000,553452000,0.99639404,0.042036597,0.073742844,-0.0017018111,0.0,0.0,0.0,0.0,0,0.52
553472000,553472000,0.9963496,0.042235646,0.07422845,-0.0017251523,0.0,0.0,0.0,0.0,0,0.54
553492000,553492000,0.99631554,0.04237781,0.07460235,-0.0017626183,0.0,0.0,0.0,0.0,0,0.56
553512000,553512000,0.99629134,0.04247318,0.07486961,-0.0018133951,0.0,0.0,0.0,0.0,0,0.58
553532000,553532000,0.9962767,0.04251768,0.07503743,-0.0018762583,0.0,0.0,0.0,0.0,0,0.6
553552000,553552000,0.99627167,0.042509403,0.07510669,-0.0019499203,0.0,0.0,0.0,0.0,0,0.62
553572000,553572000,0.9962762,0.04244789,0.07507955,-0.0020324616,0.0,0.0,0.0,0.0,0,0.64
553592000,553592000,0.9962903,0.042338368,0.07495111,-0.0021230814,0.0,0.0,0.0,0.0,0,0.66
553612000,553612000,0.99631333,0.042179447,0.074731916,-0.0022199382,0.0,0.0,0.0,0.0,0,0.68
553632000,553632000,0.99634427,0.04196947,0.07443379,-0.0023214542,0.0,0.0,0.0,0.0,0,0.7
553652000,553652000,0.9963823,0.041722838,0.07405895,-0.0024274318,0.0,0.0,0.0,0.0,0,0.72
553672000,553672000,0.99642694,0.041453253,0.07360468,-0.0025376882,0.0,0.0,0.0,0.0,0,0.74
553692000,553692000,0.99647796,0.041155197,0.073075265,-0.0026501513,0.0,0.0,0.0,0.0,0,0.76
553712000,553712000,0.99653536,0.04082156,0.0724732,-0.0027634765,0.0,0.0,0.0,0.0,0,0.78
553732000,553732000,0.9965984,0.040459104,0.07180127,-0.0028772443,0.0,0.0,0.0,0.0,0,0.8
553752000,553752000,0.9966667,0.04005796,0.071070425,-0.0029891129,0.0,0.0,0.0,0.0,0,0.82
553772000,553772000,0.99673903,0.039622735,0.07029093,-0.0030982078,0.0,0.0,0.0,0.0,0,0.84
553792000,553792000,0.9968154,0.039150875,0.06946319,-0.0032035904,0.0,0.0,0.0,0.0,0,0.86
553812000,553812000,0.9968958,0.03865767,0.06857499,-0.0033055122,0.0,0.0,0.0,0.0,0,0.88
553832000,553832000,0.99698025,0.03814507,0.06762251,-0.0034035547,0.0,0.0,0.0,0.0,0,0.9
553852000,553852000,0.9970676,0.037606724,0.06662468,-0.0034958236,0.0,0.0,0.0,0.0,0,0.92
553872000,553872000,0.9971566,0.03704108,0.065596566,-0.003581105,0.0,0.0,0.0,0.0,0,0.94
553892000,553892000,0.9972475,0.03646418,0.06452473,-0.0036606349,0.0,0.0,0.0,0.0,0,0.96
553912000,553912000,0.9973398,0.03586978,0.06341819,-0.003733443,0.0,0.0,0.0,0.0,0,0.98
553932000,553932000,0.9974326,0.035260484,0.062286206,-0.0037992336,0.0,0.0,0.0,0.0,0,1.0
553952000,553952000,0.9975258,0.03463163,0.061132498,-0.0038574813,0.0,0.0,0.0,0.0,0,1.02
553972000,553972000,0.9976192,0.03398929,0.059954,-0.003908135,0.0,0.0,0.0,0.0,0,1.04
553992000,553992000,0.99771285,0.033336695,0.05874737,-0.0039508054,0.0,0.0,0.0,0.0,0,1.06
554012000,554012000,0.99780595,0.032672223,0.057524256,-0.003985025,0.0,0.0,0.0,0.0,0,1.08
554032000,554032000,0.9978984,0.031996705,0.056284703,-0.004011176,0.0,0.0,0.0,0.0,0,1.1
554052000,554052000,0.9979899,0.03131721,0.055029653,-0.0040291846,0.0,0.0,0.0,0.0,0,1.12
554072000,554072000,0.9980804,0.030629564,0.053760704,-0.0040385877,0.0,0.0,0.0,0.0,0,1.14
554092000,554092000,0.99816996,0.029936923,0.05247237,-0.0040398454,0.0,0.0,0.0,0.0,0,1.16
554112000,554112000,0.9982578,0.029239595,0.051178012,-0.0040327725,0.0,0.0,0.0,0.0,0,1.18
554132000,554132000,0.9983439,0.028535318,0.049882293,-0.00401749,0.0,0.0,0.0,0.0,0,1.2
554152000,554152000,0.99842817,0.027820796,0.048583094,-0.0039941794,0.0,0.0,0.0,0.0,0,1.22
554172000,554172000,0.9985108,0.027096953,0.04727995,-0.0039631887,0.0,0.0,0.0,0.0,0,1.24
554192000,554192000,0.99859124,0.02636804,0.04597767,-0.00392447,0.0,0.0,0.0,0.0,0,1.26
554212000,554212000,0.9986693,0.02563667,0.04468124,-0.0038783476,0.0,0.0,0.0,0.0,0,1.28
554232000,554232000,0.99874455,0.024909142,0.04339703,-0.003825446,0.0,0.0,0.0,0.0,0,1.3
554252000,554252000,0.9988166,0.0241905,0.042131577,-0.003766177,0.0,0.0,0.0,0.0,0,1.32
554272000,554272000,0.9988851,0.023492249,0.040891603,-0.0037014505,0.0,0.0,0.0,0.0,0,1.34
554292000,554292000,0.9989496,0.02280862,0.039691154,-0.0036313073,0.0,0.0,0.0,0.0,0,1.36
554312000,554312000,0.9990102,0.022149578,0.038528025,-0.0035565658,0.0,0.0,0.0,0.0,0,1.38
554332000,554332000,0.9990672,0.02151347,0.03740163,-0.0034776598,0.0,0.0,0.0,0.0,0,1.4
554352000,554352000,0.9991209,0.020907719,0.03630267,-0.0033955516,0.0,0.0,0.0,0.0,0,1.42
554372000,554372000,0.9991711,0.020328822,0.03524229,-0.003310431,0.0,0.0,0.0,0.0,0,1.44
554392000,554392000,0.99921775,0.019778837,0.034225862,-0.0032223987,0.0,0.0,0.0,0.0,0,1.46
554412000,554412000,0.9992612,0.019263452,0.03324499,-0.0031322185,0.0,0.0,0.0,0.0,0,1.48
554432000,554432000,0.99930185,0.018777866,0.032296572,-0.0030403482,0.0,0.0,0.0,0.0,0,1.5
554452000,554452000,0.9993398,0.018321449,0.031380262,-0.0029470888,0.0,0.0,0.0,0.0,0,1.52
554472000,554472000,0.99937516,0.01788714,0.030500839,-0.0028528376,0.0,0.0,0.0,0.0,0,1.54
554492000,554492000,0.99940825,0.017477237,0.02965227,-0.002758076,0.0,0.0,0.0,0.0,0,1.56
554512000,554512000,0.9994393,0.017087325,0.028829386,-0.0026631316,0.0,0.0,0.0,0.0,0,1.58
554532000,554532000,0.9994687,0.016713433,0.028027099,-0.00256861,0.0,0.0,0.0,0.0,0,1.6
554552000,554552000,0.9994966,0.016352175,0.027243389,-0.0024746754,0.0,0.0,0.0,0.0,0,1.62
554572000,554572000,0.999523,0.016003871,0.026477994,-0.002381914,0.0,0.0,0.0,0.0,0,1.64
554592000,554592000,0.999548,0.015674232,0.025726998,-0.002290797,0.0,0.0,0.0,0.0,0,1.66
554612000,554612000,0.99957174,0.015355432,0.024995456,-0.00220115,0.0,0.0,0.0,0.0,0,1.68
554632000,554632000,0.99959415,0.015050172,0.024281884,-0.0021135516,0.0,0.0,0.0,0.0,0,1.7
554652000,554652000,0.9996155,0.01475216,0.023584152,-0.002028327,0.0,0.0,0.0,0.0,0,1.72
554672000,554672000,0.9996357,0.014463111,0.022904512,-0.0019458076,0.0,0.0,0.0,0.0,0,1.74
554692000,554692000,0.999655,0.014181958,0.022235435,-0.0018660375,0.0,0.0,0.0,0.0,0,1.76
