timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter,time_sec
813840000,813840000,0.97537845,0.03658234,-0.21656585,0.020171763,0.0,0.0,0.0,0.0,0,0.0
813860000,813860000,0.9778823,0.035108265,-0.2052024,0.020361874,0.0,0.0,0.0,0.0,0,0.02
813880000,813880000,0.980322,0.03362503,-0.19346276,0.020479431,0.0,0.0,0.0,0.0,0,0.04
813900000,813900000,0.98267394,0.032115646,-0.1814074,0.020518279,0.0,0.0,0.0,0.0,0,0.06
813920000,813920000,0.9849225,0.030603811,-0.16905801,0.020481668,0.0,0.0,0.0,0.0,0,0.08
813940000,813940000,0.987049,0.02906575,-0.15647335,0.020364398,0.0,0.0,0.0,0.0,0,0.1
813960000,813960000,0.98903936,0.027526522,-0.14368595,0.020171005,0.0,0.0,0.0,0.0,0,0.12
813980000,813980000,0.99087703,0.02598248,-0.13076982,0.01990049,0.0,0.0,0.0,0.0,0,0.14
814000000,814000000,0.9925526,0.024443144,-0.117764935,0.019555675,0.0,0.0,0.0,0.0,0,0.16
814020000,814020000,0.99405664,0.02290315,-0.10473657,0.019137643,0.0,0.0,0.0,0.0,0,0.18
814040000,814040000,0.9953875,0.02136445,-0.09169835,0.018650476,0.0,0.0,0.0,0.0,0,0.2
814060000,814060000,0.99653935,0.019827649,-0.078726046,0.01809661,0.0,0.0,0.0,0.0,0,0.22
814080000,814080000,0.99751306,0.018283933,-0.06585594,0.01747925,0.0,0.0,0.0,0.0,0,0.24
814100000,814100000,0.9983092,0.016747037,-0.05315157,0.016803192,0.0,0.0,0.0,0.0,0,0.26
814120000,814120000,0.998934,0.015210919,-0.04062395,0.016073635,0.0,0.0,0.0,0.0,0,0.28
814140000,814140000,0.9993922,0.013701198,-0.028330043,0.015296357,0.0,0.0,0.0,0.0,0,0.3
814160000,814160000,0.9996923,0.0122009255,-0.016306536,0.014476366,0.0,0.0,0.0,0.0,0,0.32
814180000,814180000,0.99984384,0.010720441,-0.0045857513,0.013619769,0.0,0.0,0.0,0.0,0,0.34
814200000,814200000,0.9998576,0.009236373,0.0068117967,0.012732656,0.0,0.0,0.0,0.0,0,0.36
814220000,814220000,0.999745,0.007767972,0.01785923,0.011821262,0.0,0.0,0.0,0.0,0,0.38
814240000,814240000,0.9995181,0.0063031563,0.02853602,0.010891524,0.0,0.0,0.0,0.0,0,0.4
814260000,814260000,0.9991891,0.0048623653,0.038828015,0.009948626,0.0,0.0,0.0,0.0,0,0.42
814280000,814280000,0.99877095,0.003428251,0.04871264,0.008998288,0.0,0.0,0.0,0.0,0,0.44
814300000,814300000,0.9982756,0.0020173253,0.058191307,0.008045178,0.0,0.0,0.0,0.0,0,0.46
814320000,814320000,0.9977147,0.0006134088,0.06725887,0.0070951018,0.0,0.0,0.0,0.0,0,0.48
814340000,814340000,0.9970985,-0.0007659575,0.075929426,0.006152113,0.0,0.0,0.0,0.0,0,0.5
814360000,814360000,0.99643767,-0.0021369364,0.08419761,0.0052220053,0.0,0.0,0.0,0.0,0,0.52
814380000,814380000,0.99574,-0.003468916,0.092089,0.0043065194,0.0,0.0,0.0,0.0,0,0.54
814400000,814400000,0.9950142,-0.0047843065,0.09960593,0.0034114826,0.0,0.0,0.0,0.0,0,0.56
814420000,814420000,0.9942669,-0.006057545,0.10676715,0.0025378545,0.0,0.0,0.0,0.0,0,0.58
814440000,814440000,0.9935033,-0.007308788,0.11359611,0.0016906759,0.0,0.0,0.0,0.0,0,0.6
814460000,814460000,0.9927301,-0.008514972,0.12009502,0.00087044196,0.0,0.0,0.0,0.0,0,0.62
814480000,814480000,0.9919501,-0.0096890135,0.12629423,8.089956e-05,0.0,0.0,0.0,0.0,0,0.64
814500000,814500000,0.99117154,-0.01082797,0.1321754,-0.00067573856,0.0,0.0,0.0,0.0,0,0.66
814520000,814520000,0.9903958,-0.011923589,0.13777211,-0.0013988075,0.0,0.0,0.0,0.0,0,0.68
814540000,814540000,0.9896291,-0.0129898265,0.14307448,-0.0020844818,0.0,0.0,0.0,0.0,0,0.7
814560000,814560000,0.98887426,-0.014013005,0.148098,-0.0027331114,0.0,0.0,0.0,0.0,0,0.72
814580000,814580000,0.9881355,-0.015005321,0.15284294,-0.003341454,0.0,0.0,0.0,0.0,0,0.74
814600000,814600000,0.98741645,-0.015954295,0.15731493,-0.003909682,0.0,0.0,0.0,0.0,0,0.76
814620000,814620000,0.98671675,-0.016868334,0.16153915,-0.004435702,0.0,0.0,0.0,0.0,0,0.78
814640000,814640000,0.986042,-0.017754603,0.16550165,-0.0049174037,0.0,0.0,0.0,0.0,0,0.8
814660000,814660000,0.9853925,-0.018599974,0.16922195,-0.005356603,0.0,0.0,0.0,0.0,0,0.82
814680000,814680000,0.9847733,-0.019411866,0.17268687,-0.0057516154,0.0,0.0,0.0,0.0,0,0.84
814700000,814700000,0.9841854,-0.020178385,0.17590831,-0.0061044674,0.0,0.0,0.0,0.0,0,0.86
814720000,814720000,0.9836298,-0.02090653,0.17889465,-0.006414293,0.0,0.0,0.0,0.0,0,0.88
814740000,814740000,0.9831074,-0.021592116,0.18165377,-0.006682094,0.0,0.0,0.0,0.0,0,0.9
814760000,814760000,0.98262066,-0.022233453,0.18418396,-0.006908371,0.0,0.0,0.0,0.0,0,0.92
814780000,814780000,0.98217124,-0.022840416,0.18648525,-0.007092245,0.0,0.0,0.0,0.0,0,0.94
814800000,814800000,0.981758,-0.023403233,0.18857415,-0.0072361506,0.0,0.0,0.0,0.0,0,0.96
814820000,814820000,0.98138344,-0.023937467,0.19044359,-0.007337746,0.0,0.0,0.0,0.0,0,0.98
814840000,814840000,0.98104805,-0.024430236,0.1920994,-0.0074006254,0.0,0.0,0.0,0.0,0,1.0
814860000,814860000,0.9807518,-0.024881711,0.19354768,-0.0074263588,0.0,0.0,0.0,0.0,0,1.02
814880000,814880000,0.9804944,-0.025288403,0.1947956,-0.0074174707,0.0,0.0,0.0,0.0,0,1.04
814900000,814900000,0.9802779,-0.02565994,0.19583562,-0.0073734024,0.0,0.0,0.0,0.0,0,1.06
814920000,814920000,0.9801017,-0.025999561,0.19667369,-0.007295136,0.0,0.0,0.0,0.0,0,1.08
814940000,814940000,0.9799644,-0.026305614,0.19732036,-0.0071850074,0.0,0.0,0.0,0.0,0,1.1
814960000,814960000,0.97986513,-0.026580138,0.1977809,-0.007044312,0.0,0.0,0.0,0.0,0,1.12
814980000,814980000,0.9798027,-0.02682051,0.1980635,-0.0068755616,0.0,0.0,0.0,0.0,0,1.14
815000000,815000000,0.97977453,-0.02703279,0.19818065,-0.0066800076,0.0,0.0,0.0,0.0,0,1.16
815020000,815020000,0.97978294,-0.027216278,0.1981213,-0.0064594946,0.0,0.0,0.0,0.0,0,1.18
815040000,815040000,0.9798261,-0.027370369,0.19789432,-0.006216572,0.0,0.0,0.0,0.0,0,1.2
815060000,815060000,0.97990173,-0.027494228,0.19751024,-0.0059538824,0.0,0.0,0.0,0.0,0,1.22
815080000,815080000,0.9800098,-0.027586622,0.19696869,-0.0056735147,0.0,0.0,0.0,0.0,0,1.24
815100000,815100000,0.9801497,-0.027651722,0.1962705,-0.005377035,0.0,0.0,0.0,0.0,0,1.26
815120000,815120000,0.9803193,-0.027691852,0.1954243,-0.005065987,0.0,0.0,0.0,0.0,0,1.28
815140000,815140000,0.98051745,-0.027707886,0.19443366,-0.004743108,0.0,0.0,0.0,0.0,0,1.3
815160000,815160000,0.98074377,-0.027699485,0.1932979,-0.004410231,0.0,0.0,0.0,0.0,0,1.32
815180000,815180000,0.980998,-0.027668482,0.19201562,-0.0040691607,0.0,0.0,0.0,0.0,0,1.34
815200000,815200000,0.9812766,-0.02761209,0.1906019,-0.0037227515,0.0,0.0,0.0,0.0,0,1.36
815220000,815220000,0.98157734,-0.027531547,0.18906514,-0.0033732422,0.0,0.0,0.0,0.0,0,1.38
815240000,815240000,0.98190033,-0.027430257,0.18740155,-0.0030222056,0.0,0.0,0.0,0.0,0,1.4
815260000,815260000,0.9822435,-0.02730969,0.18561766,-0.0026713072,0.0,0.0,0.0,0.0,0,1.42
