timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning,time_sec
813840000,813840000,4196000,47.39797105772898,8.546163739800146,32.491306,-1.9479259,-5.038878,0.0,0.0,0.0,5.078073,0.7627302,-2.8465223,0.0,0.0,0.0,0.0,4.646398,0.85840976,0.8064806,0.025955772,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
813860000,813860000,4196000,47.39797105772898,8.546163739800146,32.59463,-1.9323342,-5.09555,0.0,0.0,0.0,5.166195,0.7795874,-2.8336017,0.0,0.0,0.0,0.0,4.406117,0.84286124,0.64603275,0.027769571,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.02
813880000,813880000,4196000,47.39797105772898,8.546163739800146,32.699604,-1.9164343,-5.152035,0.0,0.0,0.0,5.2485733,0.7949916,-2.8242717,0.0,0.0,0.0,0.0,4.1189103,0.77021044,0.46650738,0.029356845,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.04
813900000,813900000,4196000,47.39797105772898,8.546163739800146,32.806103,-1.9002329,-5.2084017,0.0,0.0,0.0,5.3249397,0.8100682,-2.8183122,0.0,0.0,0.0,0.0,3.818309,0.75382847,0.2979733,0.03071173,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.06
813920000,813920000,4196000,47.39797105772898,8.546163739800146,32.91402,-1.8837572,-5.2647066,0.0,0.0,0.0,5.396,0.8237878,-2.815251,0.0,0.0,0.0,0.0,3.5530212,0.6859806,0.15305209,0.031834338,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.08
813940000,813940000,4196000,47.39797105772898,8.546163739800146,33.023235,-1.8670115,-5.3210106,0.0,0.0,0.0,5.460687,0.8372792,-2.8152108,0.0,0.0,0.0,0.0,3.234366,0.67456895,0.0020144852,0.032723736,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.1
813960000,813960000,4196000,47.39797105772898,8.546163739800146,33.133625,-1.8500252,-5.377368,0.0,0.0,0.0,5.5194764,0.84932387,-2.817851,0.0,0.0,0.0,0.0,2.9394643,0.6022332,-0.1320103,0.033383206,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.12
813980000,813980000,4196000,47.39797105772898,8.546163739800146,33.24505,-1.8328133,-5.4338317,0.0,0.0,0.0,5.571218,0.86059266,-2.8231854,0.0,0.0,0.0,0.0,2.5870814,0.56344056,-0.26672804,0.03381323,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.14
814000000,814000000,4196000,47.39797105772898,8.546163739800146,33.35738,-1.8153981,-5.4904466,0.0,0.0,0.0,5.6166015,0.8707603,-2.8307512,0.0,0.0,0.0,0.0,2.2691565,0.508384,-0.3782812,0.034019854,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.16
814020000,814020000,4196000,47.39797105772898,8.546163739800146,33.470478,-1.7977947,-5.547254,0.0,0.0,0.0,5.6549153,0.8801712,-2.840373,0.0,0.0,0.0,0.0,1.9157066,0.47054175,-0.48109934,0.034008425,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.18
