timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter,time_sec
950536000,950536000,0.9925463,0.084220804,-0.08550156,0.021383107,0.0,0.0,0.0,0.0,0,0.0
950556000,950556000,0.9928578,0.08232139,-0.08366818,0.021569753,0.0,0.0,0.0,0.0,0,0.02
950576000,950576000,0.99316466,0.08043011,-0.08181456,0.021688698,0.0,0.0,0.0,0.0,0,0.04
950596000,950596000,0.9934675,0.07854583,-0.07993284,0.021741735,0.0,0.0,0.0,0.0,0,0.06
950616000,950616000,0.99376476,0.076675236,-0.078034766,0.021729691,0.0,0.0,0.0,0.0,0,0.08
950636000,950636000,0.9940563,0.074821934,-0.07611838,0.021654798,0.0,0.0,0.0,0.0,0,0.1
950656000,950656000,0.9943418,0.07298586,-0.07418598,0.021519002,0.0,0.0,0.0,0.0,0,0.12
950676000,950676000,0.99462146,0.0711638,-0.07223706,0.0213244,0.0,0.0,0.0,0.0,0,0.14
950696000,950696000,0.9948936,0.06936543,-0.07028594,0.021073032,0.0,0.0,0.0,0.0,0,0.16
950716000,950716000,0.99515927,0.06758674,-0.068321824,0.020767825,0.0,0.0,0.0,0.0,0,0.18
950736000,950736000,0.99541706,0.06582885,-0.06636229,0.02041037,0.0,0.0,0.0,0.0,0,0.2
950756000,950756000,0.995668,0.06408081,-0.06440403,0.020002857,0.0,0.0,0.0,0.0,0,0.22
950776000,950776000,0.99591035,0.062354576,-0.06246129,0.01954795,0.0,0.0,0.0,0.0,0,0.24
950796000,950796000,0.9961452,0.060644098,-0.060525116,0.019049034,0.0,0.0,0.0,0.0,0,0.26
950816000,950816000,0.9963717,0.058951546,-0.058606014,0.018508742,0.0,0.0,0.0,0.0,0,0.28
950836000,950836000,0.9965909,0.057271194,-0.056692977,0.017931186,0.0,0.0,0.0,0.0,0,0.3
950856000,950856000,0.99680144,0.05561164,-0.054803163,0.017319556,0.0,0.0,0.0,0.0,0,0.32
950876000,950876000,0.9970032,0.05397248,-0.052939516,0.016676784,0.0,0.0,0.0,0.0,0,0.34
