timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning,time_sec
950536000,950536000,4196000,47.39797105772898,8.546163739800146,33.753445,-3.1360078,-5.000147,0.0,0.0,0.0,-0.7839447,-0.9456204,-0.13036555,0.0,0.0,0.0,0.0,1.8252256,1.8688734,0.13959874,0.0284803,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
950556000,950556000,4196000,47.39797105772898,8.546163739800146,33.738483,-3.1541898,-5.0027013,0.0,0.0,0.0,-0.7482135,-0.90909606,-0.12772305,0.0,0.0,0.0,0.0,1.7865613,1.8262169,0.13212468,0.029487902,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.02
950576000,950576000,4196000,47.39797105772898,8.546163739800146,33.72421,-3.17166,-5.0052075,0.0,0.0,0.0,-0.71354824,-0.87351495,-0.12531123,0.0,0.0,0.0,0.0,1.7332641,1.779056,0.12059095,0.030345798,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.04
950596000,950596000,4196000,47.39797105772898,8.546163739800146,33.71062,-3.1884353,-5.007668,0.0,0.0,0.0,-0.679494,-0.83877045,-0.12301554,0.0,0.0,0.0,0.0,1.7027092,1.7372257,0.114784725,0.031059027,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.06
950616000,950616000,4196000,47.39797105772898,8.546163739800146,33.69769,-3.2045364,-5.010087,0.0,0.0,0.0,-0.64651734,-0.8050479,-0.12096317,0.0,0.0,0.0,0.0,1.6488364,1.6861253,0.102618344,0.03162636,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.08
950636000,950636000,4196000,47.39797105772898,8.546163739800146,33.685406,-3.2199817,-5.012469,0.0,0.0,0.0,-0.6142952,-0.7722672,-0.11907392,0.0,0.0,0.0,0.0,1.6111059,1.6390367,0.0944624,0.032052163,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.1
950656000,950656000,4196000,47.39797105772898,8.546163739800146,33.673744,-3.2347884,-5.014816,0.0,0.0,0.0,-0.5829329,-0.74033135,-0.11736569,0.0,0.0,0.0,0.0,1.5681156,1.5967929,0.08541173,0.03234021,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.12
950676000,950676000,4196000,47.39797105772898,8.546163739800146,33.662697,-3.2489715,-5.0171323,0.0,0.0,0.0,-0.55236787,-0.7091567,-0.11581526,0.0,0.0,0.0,0.0,1.528252,1.5587325,0.07752122,0.032495458,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.14
950696000,950696000,4196000,47.39797105772898,8.546163739800146,33.65224,-3.2625527,-5.0194216,0.0,0.0,0.0,-0.5229591,-0.6790587,-0.114454836,0.0,0.0,0.0,0.0,1.4704379,1.5049026,0.068021245,0.032518853,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.16
950716000,950716000,4196000,47.39797105772898,8.546163739800146,33.642357,-3.2755466,-5.021684,0.0,0.0,0.0,-0.49411124,-0.6496924,-0.11314282,0.0,0.0,0.0,0.0,1.4423923,1.4683129,0.06560078,0.032418657,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.18
