timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter,time_sec
424920000,424920000,0.9978889,0.003945965,-0.045296766,-0.04646978,0.0,0.0,0.0,0.0,0,0.0
424940000,424940000,0.9978909,0.0059437724,-0.04784672,-0.043568116,0.0,0.0,0.0,0.0,0,0.02
424960000,424960000,0.99788755,0.007873383,-0.05021133,-0.040574897,0.0,0.0,0.0,0.0,0,0.04
424980000,424980000,0.99787873,0.009722011,-0.052399967,-0.037508518,0.0,0.0,0.0,0.0,0,0.06
425000000,425000000,0.9978647,0.011495259,-0.05441108,-0.034385633,0.0,0.0,0.0,0.0,0,0.08
425020000,425020000,0.99784577,0.01318772,-0.056249805,-0.031224146,0.0,0.0,0.0,0.0,0,0.1
425040000,425040000,0.9978219,0.014785701,-0.057926636,-0.028043259,0.0,0.0,0.0,0.0,0,0.12
425060000,425060000,0.99779344,0.016282951,-0.05944906,-0.024860395,0.0,0.0,0.0,0.0,0,0.14
425080000,425080000,0.9977607,0.017682055,-0.060822546,-0.021692995,0.0,0.0,0.0,0.0,0,0.16
425100000,425100000,0.9977238,0.018986069,-0.062059976,-0.018558444,0.0,0.0,0.0,0.0,0,0.18
425120000,425120000,0.99768275,0.020199558,-0.06317281,-0.015472786,0.0,0.0,0.0,0.0,0,0.2
425140000,425140000,0.99763787,0.021322567,-0.064171925,-0.012452002,0.0,0.0,0.0,0.0,0,0.22
425160000,425160000,0.99759066,0.022356763,-0.06505122,-0.009511313,0.0,0.0,0.0,0.0,0,0.24
425180000,425180000,0.99754184,0.023300035,-0.06581838,-0.0066652987,0.0,0.0,0.0,0.0,0,0.26
425200000,425200000,0.99749243,0.024155403,-0.066475786,-0.003927763,0.0,0.0,0.0,0.0,0,0.28
425220000,425220000,0.9974432,0.024927607,-0.067029946,-0.0013110773,0.0,0.0,0.0,0.0,0,0.3
425240000,425240000,0.9973952,0.025626563,-0.06748166,0.0011737982,0.0,0.0,0.0,0.0,0,0.32
425260000,425260000,0.997349,0.026253132,-0.0678409,0.0035159201,0.0,0.0,0.0,0.0,0,0.34
