timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning,time_sec
291076000,291076000,4196000,47.39797105772898,8.546163739800146,24.622715,-1.2277173,-5.628999,0.0,0.0,0.0,4.0529914,4.6898246,-2.843646,0.0,0.0,0.0,0.0,1.3980767,1.3631192,-0.5738076,0.100779645,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.22
291096000,291096000,4196000,47.39797105772898,8.546163739800146,24.704243,-1.13348,-5.686132,0.0,0.0,0.0,4.0763454,4.7118635,-2.8566449,0.0,0.0,0.0,0.0,1.167704,1.1019502,-0.6499457,0.099576935,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.24
291116000,291116000,4196000,47.39797105772898,8.546163739800146,24.786127,-1.0389237,-5.7435536,0.0,0.0,0.0,4.0942917,4.727814,-2.8710792,0.0,0.0,0.0,0.0,0.8973,0.7975326,-0.72171855,0.097618416,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.26
291136000,291136000,4196000,47.39797105772898,8.546163739800146,24.868277,-0.944146,-5.8012795,0.0,0.0,0.0,4.107457,4.7388883,-2.8863053,0.0,0.0,0.0,0.0,0.6582874,0.5537078,-0.7612984,0.09494773,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.28
291156000,291156000,4196000,47.39797105772898,8.546163739800146,24.950586,-0.8492639,-5.8593235,0.0,0.0,0.0,4.115481,4.744103,-2.902203,0.0,0.0,0.0,0.0,0.40117872,0.2607279,-0.7948962,0.09160995,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.3
291176000,291176000,4196000,47.39797105772898,8.546163739800146,25.032955,-0.7543704,-5.9176903,0.0,0.0,0.0,4.118415,4.744675,-2.9183261,0.0,0.0,0.0,0.0,0.14669678,0.028612837,-0.80614793,0.08765612,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.32
291196000,291196000,4196000,47.39797105772898,8.546163739800146,25.115292,-0.65957314,-5.9763784,0.0,0.0,0.0,4.116847,4.7398624,-2.9344006,0.0,0.0,0.0,0.0,-0.078395136,-0.24062298,-0.8037266,0.08314364,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.34
291216000,291216000,4196000,47.39797105772898,8.546163739800146,25.197495,-0.5649609,-6.035381,0.0,0.0,0.0,4.1101174,4.730613,-2.9501207,0.0,0.0,0.0,0.0,-0.33646426,-0.46246418,-0.78599995,0.0781304,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.36
291236000,291236000,4196000,47.39797105772898,8.546163739800146,25.279486,-0.47062936,-6.094685,0.0,0.0,0.0,4.0996094,4.716576,-2.9652271,0.0,0.0,0.0,0.0,-0.5254137,-0.70185536,-0.7553241,0.072679535,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.38
291256000,291256000,4196000,47.39797105772898,8.546163739800146,25.361172,-0.37665862,-6.1542764,0.0,0.0,0.0,4.084277,4.6985364,-2.97956,0.0,0.0,0.0,0.0,-0.76660544,-0.90197873,-0.71663177,0.06685345,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.4
291276000,291276000,4196000,47.39797105772898,8.546163739800146,25.44248,-0.28312883,-6.2141356,0.0,0.0,0.0,4.065411,4.6764903,-2.9929574,0.0,0.0,0.0,0.0,-0.9433173,-1.1023157,-0.6698773,0.06071618,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.42
291296000,291296000,4196000,47.39797105772898,8.546163739800146,25.523321,-0.19011085,-6.2742405,0.0,0.0,0.0,4.0420194,4.650899,-3.0052397,0.0,0.0,0.0,0.0,-1.1695815,-1.2795739,-0.6141197,0.05433199,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.44
291316000,291316000,4196000,47.39797105772898,8.546163739800146,25.60363,-0.09767475,-6.334568,0.0,0.0,0.0,4.015499,4.6218047,-3.0163884,0.0,0.0,0.0,0.0,-1.3259977,-1.4546915,-0.5574353,0.047763057,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.46
291336000,291336000,4196000,47.39797105772898,8.546163739800146,25.683332,-0.0058888346,-6.395095,0.0,0.0,0.0,3.9851005,4.589296,-3.0263355,0.0,0.0,0.0,0.0,-1.5199423,-1.6254615,-0.49735346,0.041073818,0.0,0.0,0.0,0.0,0.22663368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.48
